name,latitude,longitude,rating,num_reviews,rooms,total_grade
Golden Odyssey Kontari,38.3663,26.135,0.0,0.0,72.0,92.0
Hotel Dodoni,37.98717,23.72527,0.0,0.0,19.0,100.0
Vira Senor House,36.745327,24.435068,0.0,0.0,0.0,54.0
Yali Motel,39.48025,26.1992,0.0,0.0,0.0,0.0
Xenos Hotel,39.70658,21.62049,0.0,0.0,61.0,89.0
Casa Loma,35.51024,23.94728,0.0,0.0,22.0,41.0
Euroxenia Royal Mare Hotel,41.11782,24.94394,0.0,0.0,0.0,0.0
Hotel Belle Vue,37.97536,22.977673,0.0,0.0,11.0,100.0
Valassis Hotel,37.02492,22.12045,0.0,0.0,67.0,77.0
Studios Center Kavvida,36.45373,28.22147,0.0,0.0,0.0,100.0
Hotel Neon Boston,37.98824,23.72009,0.0,0.0,20.0,96.0
Stelva Apartments,35.30842,25.38458,0.0,0.0,0.0,79.0
Hotel Angelos,35.3608,24.47475,0.0,0.0,45.0,76.0
Hotel Virginia Amoudara,35.33577,25.10127,0.0,0.0,23.0,42.0
Let Rina Hotel -Pyrgos,37.66901,21.49821,0.0,0.0,108.0,0.0
Hotel Anker,36.40824,28.2254,0.0,0.0,188.0,0.0
Sissi Bay Villas,35.311657,25.531693,0.0,0.0,62.0,47.0
Hotel Panorama,37.96045,21.23502,0.0,0.0,0.0,0.0
Seven Islands,39.78919,19.81001,0.0,0.0,198.0,60.0
Hotel Rhea,37.99081,23.72072,0.0,0.0,36.0,87.0
Marnelos Apartments,35.21529,25.712116,0.0,0.0,7.0,36.0
Possidonion Hotel,37.38797,24.88343,0.0,0.0,0.0,43.0
Hotel Gerani,35.28653,25.46208,0.0,0.0,14.0,79.0
Panos Village,36.83057,25.86617,0.0,0.0,156.0,60.0
Hotel Stefi,35.37171,24.47464,0.0,0.0,3.0,97.0
Theodoros,39.79922,19.87321,0.0,0.0,141.0,0.0
Golden Rooms Astakos,38.537,21.08473,0.0,0.0,0.0,0.0
Hotel Orea Thessalia,37.98757,23.72553,0.0,0.0,25.0,100.0
Pieria Mare Hotel,40.269424,22.598244,0.0,0.0,22.0,78.0
Hotel Valari,35.36605,24.478224,0.0,0.0,26.0,97.0
Hotel Festos,38.14042,23.828829,4.0,9.0,119.0,0.0
Alexander Beach Hotel,37.725964,23.908476,3.0,103.0,105.0,0.0
New Victory,37.995716,23.730288,3.5,37.0,0.0,93.0
Athenaeum Palace & Luxury Suites,37.956696,23.717133,3.5,147.0,108.0,81.0
Hotel Diva,37.99833,23.73698,3.0,24.0,18.0,87.0
Liberty Hotel,37.986557,23.727398,3.0,32.0,16.0,100.0
Remvi Hotel,38.01267,23.73563,3.0,9.0,45.0,65.0
Hotel Androniki,37.98347,23.72574,4.0,1.0,23.0,100.0
Ionis Hotel,37.98634,23.72637,2.5,119.0,102.0,100.0
Jason Prime,37.98428,23.72379,3.0,75.0,82.0,100.0
Hotel Vergina,37.98637,23.72509,2.5,3.0,18.0,100.0
Hotel El Greco,37.98265,23.72726,3.5,6.0,92.0,100.0
Hotel Leto,37.98668,23.72801,5.0,1.0,19.0,100.0
Anixis,37.98273,23.718533,5.0,1.0,20.0,100.0
Lion Hotel Apartments,37.979286,23.749292,4.0,82.0,17.0,100.0
Hotel Stadion,37.97258,23.74388,4.0,2.0,187.0,100.0
Hotel Phedra,37.971,23.73041,3.5,26.0,21.0,100.0
Centro Residence,37.99769,23.72737,4.0,6.0,18.0,86.0
Athens City Plaza,37.98579,23.72644,2.5,13.0,35.0,100.0
Athens House Hostel,37.986523,23.727312,2.0,146.0,75.0,100.0
Hotel Olympia,37.99066,23.70525,4.0,10.0,40.0,59.0
Hotel Theoxenia,37.98452,23.72998,2.5,14.0,59.0,100.0
Hotel Metropole,37.975506,23.73067,2.5,6.0,16.0,100.0
Hotel Bill,37.98737,23.71916,3.5,8.0,36.0,100.0
Aeolos Suites,37.980007,23.729046,4.0,19.0,0.0,100.0
Hotel Christiana,37.98554,23.72725,3.0,3.0,30.0,100.0
44 Athens,37.97698,23.721302,1.0,1.0,0.0,100.0
The New Yorkers Hotel,37.982338,23.724451,2.0,19.0,12.0,100.0
Hotel Astoria,38.061386,23.828375,3.5,3.0,16.0,0.0
Salem Hotel,37.91125,23.74547,3.5,6.0,20.0,54.0
Hotel Prive,37.98732,23.71946,2.0,6.0,32.0,100.0
Classical Athens Imperial  Hotel,37.98521,23.72094,4.0,2.0,0.0,100.0
Hotel Attiki,37.98644,23.74093,4.0,11.0,17.0,88.0
Hotel Marie,37.987003,23.740274,3.5,39.0,17.0,88.0
Iniohos Hotel,37.98584,23.727453,3.0,187.0,134.0,100.0
Christina Hotel,37.96568,23.72934,1.0,1.0,70.0,100.0
Hotel Europa,37.98486,23.72852,4.5,4.0,37.0,100.0
Hotel Athinea,37.98421,23.72452,2.0,6.0,42.0,100.0
Kouros,37.97294,23.73257,2.5,3.0,10.0,100.0
Athens Luxury Suites,37.977806,23.726854,3.5,112.0,0.0,100.0
Hotel Frida,37.988834,23.742039,4.0,13.0,15.0,80.0
Hotel Melissa,38.045208,23.539148,2.0,9.0,46.0,76.0
Hotel N. Zacharatos,37.94686,23.64867,3.0,1.0,124.0,93.0
Avaris hotel,38.917377,21.779663,3.5,138.0,78.0,0.0
Xenia Hotel,38.47853,22.47475,1.0,2.0,0.0,0.0
Olympic Hotel,38.479168,22.492022,3.5,104.0,148.0,86.0
Angeliki Apartments,35.193607,25.717539,4.5,77.0,40.0,96.0
Kalithea Apartments,35.232758,25.727571,4.0,140.0,30.0,0.0
Antigoni Beach Hotel - Agios Nikolaos,40.24,23.7254,4.0,14.0,50.0,38.0
Spinalonga Village,35.29842,25.727947,4.5,118.0,45.0,68.0
Hotel Magda,35.18908,25.71452,3.5,3.0,24.0,97.0
Mirsini Hotel,35.19652,25.71374,3.5,34.0,31.0,79.0
Hotel Club Syrtaki Almiros Beach,35.191025,25.714176,2.0,2.0,38.0,96.0
Hotel Odysseas,35.19057,25.7209,3.0,1.0,24.0,94.0
Hotel Kriti,35.19361,25.71703,4.5,8.0,28.0,93.0
Hotel Sunrise,35.187454,25.715635,4.0,1.0,18.0,97.0
Hotel Knossos,35.1914,25.7129,3.5,4.0,21.0,82.0
Hermes Hotel,35.19411,25.717094,4.5,1148.0,217.0,90.0
Vigla Apartments,35.51168,23.966953,4.0,10.0,17.0,52.0
Hotel Skala,35.47207,23.93018,4.0,13.0,8.0,0.0
Achilles Plaza,35.51279,23.96719,4.0,32.0,20.0,53.0
Christina Apartments,35.512867,24.005178,4.0,37.0,37.0,78.0
Hotel Electra Kalamaki,35.52217,23.84617,4.0,16.0,49.0,53.0
Casadipietra,35.51755,24.0152,5.0,74.0,4.0,98.0
Sissy Village Hotel,35.53077,24.074957,5.0,30.0,48.0,37.0
Erietta Apartments,35.51705,24.016045,4.5,21.0,3.0,98.0
Arhondiko,35.248493,23.810896,5.0,4.0,27.0,52.0
Hotel Artemis,35.517517,24.014935,4.0,2.0,4.0,98.0
Hotel Astor,35.5066,24.036455,4.0,1.0,36.0,41.0
Kalimera,35.51136,24.026985,4.5,4.0,44.0,79.0
Hotel Lato,35.51192,24.0155,4.5,3.0,30.0,97.0
Hotel Kirki,35.2986,25.72784,4.5,2.0,14.0,68.0
Poseidon Hotel,35.34113,25.12662,3.5,72.0,177.0,91.0
Mediterranean Hotel,35.304363,25.411116,4.0,19.0,55.0,61.0
Hotel Dedalos,35.33884,25.13426,2.5,5.0,57.0,100.0
Santa Elena,35.33471,25.10088,3.5,4.0,54.0,41.0
Hotel Kreta,35.3368,25.13572,2.0,4.0,10.0,100.0
Hotel Flisvos,35.524555,23.848227,3.0,25.0,22.0,56.0
Castalia Apartments,35.50517,24.02458,3.5,3.0,88.0,63.0
Limas Hotel,35.37823,24.566957,4.0,24.0,12.0,0.0
Rethymnon Bay Hotel,35.36787,24.50647,3.0,6.0,300.0,56.0
La Strada Suites,35.37004,24.473856,4.5,18.0,5.0,97.0
Eva Studios,35.365616,24.47604,3.0,5.0,99.0,97.0
Eleonora Hotel Apartments,35.36524,24.481367,2.0,31.0,28.0,95.0
Hotel Erato Perivolia,35.36595,24.5023,3.5,5.0,18.0,59.0
Leoniki Beach Plaza,35.35152,24.51326,4.0,3.0,86.0,0.0
Hotel Akali,35.36609,24.47498,4.0,1.0,31.0,97.0
Melmar,35.366135,24.49429,4.0,96.0,50.0,73.0
Hotel Dimitrios Perivolia,35.36743,24.50666,4.5,15.0,75.0,56.0
Kronos Beach Bali,35.411713,24.783175,3.5,20.0,105.0,68.0
Lefkoniko Sands Hotel & Apartments,35.36658,24.48567,3.0,11.0,41.0,86.0
Apartments Anna,35.36878,24.51212,5.0,10.0,29.0,48.0
Makri Steno Aparthotel,35.368706,24.472864,4.5,57.0,16.0,97.0
Eugenia Studios Hotel,36.98855,24.67592,4.5,6.0,64.0,55.0
Karkisia Hotel,36.9002,25.976328,4.0,60.0,60.0,57.0
Pension-Hotel Pelagos,36.35173,25.769318,5.0,23.0,232.0,38.0
Porto Klaras suites & studios,37.44344,24.425116,5.0,538.0,7.0,60.0
Suntouch Suites,37.470497,25.313177,5.0,2.0,37.0,43.0
Elizabeth Apartments,37.00961,25.23127,4.5,5.0,0.0,42.0
Avra Hotel,37.08547,25.15669,4.5,2.0,8.0,86.0
BEST WESTERN Holiday Sun,37.03821,25.10204,3.5,19.0,120.0,0.0
Symmetry Suites,36.358276,25.397217,2.5,2.0,8.0,65.0
Santa Helena,36.4062,28.15115,4.0,5.0,22.0,43.0
Norma's Village,36.972706,26.93606,4.0,179.0,17.0,42.0
Perama Studios,35.475784,27.1974,3.5,56.0,16.0,57.0
Hotel & Apartments Niriides,36.252796,28.161184,4.5,14.0,6.0,70.0
Artemis Hotel Apartments,36.904602,27.282055,4.5,90.0,64.0,78.0
Olga Hotel,36.884773,27.31037,3.0,63.0,33.0,51.0
Laura Hotel,36.909077,27.279484,4.0,230.0,35.0,62.0
Hotel Ekaterini,36.89426,27.286053,3.5,12.0,28.0,100.0
Faros Hotel,36.4145,27.38694,4.5,42.0,202.0,44.0
Amada Colossos Luxury Villas - All Inclusive,36.40824,28.2254,5.0,16.0,0.0,0.0
Residence Family & Fun,36.43799,28.23485,5.0,1.0,92.0,83.0
Pantheon Mansion,36.614605,27.838293,3.0,12.0,24.0,81.0
Athina Villa,39.288815,20.396126,4.0,37.0,135.0,79.0
Hotel Galaxy,39.664,20.85238,2.5,27.0,202.0,100.0
Hotel Tourist,39.66804,20.85541,2.5,2.0,40.0,100.0
Hotel Bretania,39.65433,20.79575,3.5,67.0,23.0,0.0
Hotel Paris,39.66909,20.85302,4.0,7.0,16.0,100.0
Hotel Kentrikon,38.46282,23.590626,3.5,47.0,20.0,88.0
San Georgio Hotel Apartments -3 Star,38.1002,20.806646,4.0,113.0,195.0,0.0
Eryphilli,38.072716,20.747196,4.5,279.0,20.0,46.0
Boulevard Pyllaros Hotel,38.304,20.59712,5.0,3.0,8.0,46.0
Paradise Studios and Apartments,38.10894,20.516512,4.5,13.0,291.0,50.0
Blue Sea Apartments,37.79441,20.780224,4.0,22.0,96.0,0.0
San Georgio Hotel Apartments,38.099983,20.806858,4.5,44.0,199.0,0.0
Filoxenia Apartments,38.068775,20.743744,4.5,161.0,107.0,53.0
Ionian Marie Hotel,39.79565,19.81955,4.0,1.0,23.0,64.0
Stamatis,39.75528,19.646646,4.0,78.0,100.0,71.0
Nikiforos Aparthotel,39.78874,19.922585,2.5,36.0,228.0,90.0
Villa Chrisoula,39.74272,19.927526,5.0,3.0,291.0,44.0
Attika Beach Hotel,39.43867,20.044218,3.5,107.0,170.0,0.0
Radovas,39.66604,19.85058,4.0,2.0,261.0,39.0
Hotel Naos,39.48336,19.93028,5.0,1.0,251.0,68.0
Pirgi Hotel,39.70729,19.84419,2.5,2.0,61.0,67.0
Alexander Beach Hotel,39.42631,19.943966,4.5,222.0,18.0,69.0
Villa Bacchus,39.77535,19.930546,4.5,15.0,132.0,0.0
Corfu Plaza Aparthotel,39.40675,20.033056,3.5,10.0,95.0,0.0
Anemona Studios & Apartments,39.788082,19.710016,4.5,186.0,136.0,87.0
Ionian Polixeni Hotel,39.79483,19.70136,3.0,2.0,118.0,92.0
Vrachos,39.62366,19.92192,4.5,3.0,227.0,99.0
Paradise Inn Hotel,38.785595,20.721947,2.0,29.0,41.0,38.0
Sands Hotel,38.713783,20.71477,4.5,327.0,22.0,48.0
Demetra Studios,38.70389,20.708216,4.0,124.0,124.0,54.0
Vermion Hotel,40.61245,22.04615,3.5,30.0,68.0,0.0
Fedon Hotel,40.78904,21.41098,4.0,6.0,0.0,43.0
Kontosoros,40.69182,21.626272,4.5,43.0,124.0,0.0
Hotel Veltsi,40.78705,21.353073,4.0,51.0,41.0,0.0
Milionis Forest Hotel,40.076378,21.433813,3.5,39.0,57.0,0.0
Hotel Achillion Grevena,40.09941,21.450977,3.5,41.0,34.0,0.0
Vasilitsa Resort,40.042564,21.163572,4.0,48.0,132.0,0.0
Athanasios Studios & Apartments,40.126823,23.766241,4.5,3.0,0.0,0.0
Olympic Lakis,39.988407,23.615088,3.0,5.0,75.0,81.0
Aquarius Hotel,39.9434,23.5879,4.0,1.0,27.0,0.0
Macedonian Sun Hotel,40.059956,23.458057,3.5,244.0,150.0,0.0
Edem Paradise,40.006966,23.383263,3.5,16.0,16.0,0.0
Ammos Hotel,40.1,23.9833,4.5,24.0,71.0,56.0
Hotel Despotiko,39.9975,23.879917,3.5,123.0,30.0,0.0
Danai Residence,40.22261,23.668825,5.0,1.0,9.0,66.0
Scandinavia Hotel,40.27019,22.50408,3.0,6.0,18.0,91.0
Park Hotel,40.277992,22.518557,4.5,22.0,22.0,51.0
Akontisma,40.96297,24.50993,4.5,7.0,133.0,0.0
Philoxenia,40.936985,24.373894,2.5,23.0,95.0,0.0
Oceanview Beach Hotel,40.7914,24.240309,3.5,62.0,28.0,0.0
Europa Hotel,40.63855,22.93859,1.5,40.0,100.0,100.0
BEST WESTERN St. George Asprovalta Hotel Thessaloniki,40.622875,22.962284,3.0,5.0,118.0,81.0
Hotel Olympic,40.63909,22.93834,3.0,15.0,138.0,100.0
Villa Dimitri,37.634007,26.080708,4.5,21.0,0.0,45.0
Messakti-Village,37.628983,26.096756,3.5,56.0,60.0,54.0
Kyma Hotel,39.87257,25.26588,3.5,8.0,22.0,0.0
Hotel Thimonia,40.60489,24.718569,4.0,16.0,0.0,0.0
Hotel Kazaviti,40.75875,24.563023,4.0,18.0,23.0,0.0
Mediterranean Apartments,40.779167,24.611378,4.5,100.0,235.0,0.0
Golden Sand Hotel,40.73068,24.76031,4.0,32.0,20.0,65.0
Hatziandreou Hotel,40.757088,24.57995,3.5,5.0,22.0,42.0
Green Village,38.07892,22.618532,3.5,23.0,328.0,37.0
Acropolis Hotel,37.94483,22.796307,3.0,18.0,48.0,0.0
